"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Web Application Regression Testing","0","Login Page Tests","2","0","Redirects to Login Page","0"
"2","Web Application Regression Testing","0","Login Page Tests","1","0","Successful Login to Application","0"
"0","Web Application Regression Testing","0","Login Page Tests","1","0","Successful Redirection to Bank Account Page","0"
"0","Web Application Regression Testing","0","Login Page Tests","1","0","Successful Creates New Bank Account","0"
"1","Web Application Regression Testing","0","Login Page Tests","0","0","","0"
