"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Home Page Redirects to Login/Sign IN Page","640","Redirects from HomePage to LoginPage","Surefire suite","Thu Apr 03 15:35:28 IST 2025","passed","Thu Apr 03 15:35:29 IST 2025","com.epam.ui.tests.BankAccountTests","Surefire test","com.epam.ui.tests.BankAccountTests","homePageRedirectionTest"
"Test Description : Login Test with valid credentials","1520","validLoginTest","Surefire suite","Thu Apr 03 15:35:29 IST 2025","passed","Thu Apr 03 15:35:30 IST 2025","com.epam.ui.tests.BankAccountTests","Surefire test","com.epam.ui.tests.BankAccountTests","validLoginTest"
"Test Description : Login Test with valid credentials","7231","validLoginTest","Surefire suite","Thu Apr 03 16:16:24 IST 2025","broken","Thu Apr 03 16:16:31 IST 2025","com.epam.ui.tests.LoginTest","Surefire test","com.epam.ui.tests.LoginTest","validLoginTest"
"Test Description : Redirects to Bank Account Page","496","testBankAccountPageRedirection","Surefire suite","Thu Apr 03 15:35:30 IST 2025","passed","Thu Apr 03 15:35:31 IST 2025","com.epam.ui.tests.BankAccountTests","Surefire test","com.epam.ui.tests.BankAccountTests","testBankAccountPageRedirection"
"Home Page Redirects to Login/Sign IN Page","610","Redirects from HomePage to LoginPage","Surefire suite","Thu Apr 03 16:16:23 IST 2025","passed","Thu Apr 03 16:16:24 IST 2025","com.epam.ui.tests.LoginTest","Surefire test","com.epam.ui.tests.LoginTest","homePageRedirectionTest"
"Test Description : Login Test with valid credentials","0","validLoginTest","Surefire suite","Thu Apr 03 16:16:31 IST 2025","broken","Thu Apr 03 16:16:31 IST 2025","com.epam.ui.tests.LoginTest","Surefire test","com.epam.ui.tests.LoginTest","validLoginTest"
"Test Description : Creates New Bank Account","1210","testBankAccountCreation","Surefire suite","Thu Apr 03 15:35:31 IST 2025","passed","Thu Apr 03 15:35:32 IST 2025","com.epam.ui.tests.BankAccountTests","Surefire test","com.epam.ui.tests.BankAccountTests","testBankAccountCreation"
"","4","setUp","Surefire suite","Thu Apr 03 15:33:54 IST 2025","broken","Thu Apr 03 15:33:54 IST 2025","com.epam.ui.tests.BankAccountTests","Surefire test","com.epam.ui.tests.BankAccountTests","setUp"
